PostalCode,Price,Area,Type
20457,895 €,52 m²,Apartment
20457,"1,360 €",44.7 m²,Apartment
20457,"495,000 - 1,190,000 €",40.00 - 150.00 m²,Apartment
20457,"1,290 - 2,994 €",48.00 - 93.00 m²,Apartment
20457,"2,730 €",113.54 m²,Apartment
20457,"1,130,000 - 1,640,000 €",115.00 - 119.00 m²,Apartment
20457,"1,813.50 €",93 m²,Apartment
20457,"1,833 €",94 m²,Apartment
20457,638.78 €,19.2 m²,Apartment
20457,"3,750 €",105 m²,Apartment
20457,"3,200 €",86.73 m²,Apartment
20457,"2,120 €",95 m²,Apartment
20457,"1,616 - 21,497 €",43.00 - 395.00 m²,Apartment
20457,"1,360 €",43.3 m²,Apartment
20457,"1,680 €",59.7 m²,Apartment
20457,"1,360 €",44.7 m²,Apartment
20457,"1,390 €",43.4 m²,Apartment
20457,"1,925 €",66.2 m²,Apartment
20457,"5,165 €",119 m²,Apartment
20457,"1,770 - 2,430 €",59.00 - 81.00 m²,Apartment
20457,"1,980 €",58 m²,Apartment
20457,"1,548.36 €",42.99 m²,Apartment
20457,"1,760 €",55.12 m²,Apartment
20457,"1,850 €",68 m²,Apartment
20457,"5,300 €",193 m²,Apartment
20457,"2,750 €",86 m²,Apartment
20457,"2,385 €",93.18 m²,Apartment
20457,"1,727 €",58 m²,Apartment
20457,"2,037 €",90.03 m²,Apartment
20457,"1,874 €",72.82 m²,Apartment
20457,"1,657 €",70.57 m²,Apartment
20457,"1,537 €",52.37 m²,Apartment
20457,"1,960 €",48.83 m²,Apartment
20457,"3,251.06 €",113.13 m²,Apartment
20457,"2,300 - 4,250 €",85.04 - 151.50 m²,Apartment
20457,"2,591 €",72.56 m²,Apartment
20457,"2,066 €",82.31 m²,Apartment
20457,"1,380 €",46 m²,Apartment
20457,"1,990 €",96 m²,Apartment
20457,"900 - 3,595 €",30.00 - 140.00 m²,Apartment
20457,"1,700 €",94.93 m²,Apartment
20457,"1,134 €",55.75 m²,Apartment
20457,"1,238 €",66.86 m²,Apartment
20457,"1,530 €",69.58 m²,Apartment
20457,"1,188 €",56 m²,Apartment
20457,"2,750 €",121 m²,Apartment
20457,"4,100 €",122 m²,Apartment
20457,"1,760 €",101 m²,Apartment
20457,"1,250 €",34.27 m²,Apartment
20457,815 €,50 m²,Apartment
20457,488 €,49 m²,Apartment
20457,"2,000 €",55 m²,Apartment
20457,"3,400 €",116 m²,Apartment
20457,"1,400 €",65 m²,Apartment
20457,850 €,65 m²,Apartment
20457,"1,300 €",88 m²,Apartment
20457,"1,300 €",88 m²,Apartment
20457,"1,715 €",72 m²,Apartment
20457,950 €,64.64 m²,Apartment
20457,"1,000 €",45 m²,Apartment
20457,825 €,26.77 m²,Apartment
20457,599 €,19.87 m²,Apartment
20457,577 €,20.12 m²,Apartment
20457,790 €,64 m²,Apartment
20457,"2,500 €",207 m²,Apartment
20457,"1,750 €",50 m²,Apartment
20457,"1,300 €",87 m²,Apartment
20457,"1,628 €",67 m²,Apartment
20457,"1,383 €",80 m²,Apartment
20457,"3,213 €",150 m²,Apartment
20457,540 €,52 m²,Apartment
20457,700 €,60 m²,Apartment
20457,"1,600 €",108 m²,Apartment
20457,998 €,52 m²,Apartment
20457,"1,050 €",62 m²,Apartment
20457,"3,950 €",143 m²,Apartment
20457,"1,200 €",44 m²,Apartment
20457,700 €,21 m²,Apartment
20457,"4,680 €",183 m²,Apartment
20457,"1,910 €",64 m²,Apartment
20457,"1,989 €",91.3 m²,Apartment
20457,450 €,60 m²,Apartment
20457,"807 - 2,041 €",18.00 - 62.00 m²,Apartment
20457,650 €,64 m²,Apartment
20457,"1,200 €",75 m²,Apartment
20457,"1,800 €",82 m²,Apartment
20457,"1,138.55 €",50.22 m²,Apartment
20457,866.60 €,24 m²,Apartment
20457,"1,041.06 €",49.84 m²,Apartment
20457,"1,053.77 €",33.52 m²,Apartment
20457,"1,500 €",65.72 m²,Apartment
20457,832 €,68 m²,Apartment
20457,376 €,54 m²,Apartment
20457,"1,300 €",58 m²,Apartment
20457,566 €,61 m²,Apartment
20457,"1,000 €",48 m²,Apartment
20457,665 €,37 m²,Apartment
20457,"2,300 €",95 m²,Apartment
20457,"1,115 €",65 m²,Apartment
20457,"1,950 €",104 m²,Apartment
20457,900 €,65 m²,Apartment
20457,750 €,52 m²,Apartment
20457,750 €,50 m²,Apartment
20457,673 €,53 m²,Apartment
20457,715 €,58 m²,Apartment
20457,"1,457.45 €",102.51 m²,Apartment
20457,785.59 €,75.32 m²,Apartment
20457,"1,750 €",72 m²,Apartment
20457,720 €,72 m²,Apartment
20457,743.73 €,57.21 m²,Apartment
20457,"1,190 €",76 m²,Apartment
